0,2364,20,12851,13876
1,2398,20,12851,14648
2,2358,20,12851,13624
3,2394,20,12851,14644
4,2379,20,12851,14137
5,2348,20,12851,13368
6,2386,20,12851,14390
7,2374,20,12851,14132
8,2358,20,12851,13624
9,2384,20,12851,14388
10,2364,20,12851,13876
11,2357,20,12851,13623
12,2352,20,12851,13618
13,2341,20,12851,13361
14,2344,20,12851,13364
15,2383,20,12851,14387
16,2350,20,12851,13616
17,2362,20,12851,13874
18,2361,20,12851,13873
19,2338,20,12851,13112
20,2353,20,12851,13619
21,2356,20,12851,13622
22,2344,20,12851,13364
23,2351,20,12851,13617
24,2340,20,12851,13360
25,2322,20,12851,12850
26,2338,20,12851,13112
27,2331,20,12851,13105
28,2338,20,12851,13112
29,2330,20,12851,13104
30,2337,20,12851,13111
31,2353,20,12851,13619
32,2333,20,12851,13107
33,2350,20,12851,13616
34,2354,20,12851,13620
35,2334,20,12851,13108
36,2350,20,12851,13616
37,2354,20,12851,13620
38,2343,25,12851,13363
39,2375,25,12851,14133
40,2457,25,12852,13623
41,2495,25,12852,14645
42,2621,25,12854,12849
43,2751,25,12855,13617
44,2889,25,12856,14393
45,2967,25,12857,13879
46,3146,25,13105,13366
47,3220,25,13106,12848
48,3306,25,13107,12342
49,3404,25,13108,12340
50,3449,25,13108,13369
51,3525,25,13109,12853
52,3569,25,13109,13881
53,3648,25,13110,13368
54,3722,25,13111,12850
55,3755,25,13111,13621
56,3814,25,13112,12596
57,3807,25,13112,12343
58,3871,25,13112,14129
59,3881,25,13112,14385
60,3902,25,13113,12338
61,3912,25,13113,12594
62,3888,25,13112,14392
63,3943,25,13113,13363
64,4000,25,13360,12336
65,3937,25,13113,13111
66,4014,25,13360,12596
67,3996,25,13113,14646
68,4069,25,13360,13881
69,4100,25,13361,12336
70,4060,25,13360,13872
71,4105,25,13361,12341
72,4044,25,13360,13364
73,4072,25,13360,14130
74,4084,25,13360,14388
75,4118,25,13361,12600
76,4114,25,13361,12596
77,4113,25,13361,12595
78,4087,25,13360,14391
79,4103,25,13361,12339
80,4083,25,13360,14387
81,4129,25,13361,12857
82,4108,25,13361,12344
83,4185,25,13361,14389
84,4168,25,13361,13880
85,4195,25,13361,14645
86,4101,25,13361,12337
87,4181,25,13361,14385
88,4148,25,13361,13368
89,4187,25,13361,14391
90,4150,25,13361,13616
91,4156,25,13361,13622
92,4106,25,13361,12342
93,4156,25,13361,13622
94,4177,25,13361,14135
95,4099,25,13360,14649
96,4135,25,13361,13109
97,4088,25,13360,14392
98,4131,25,13361,13105
99,4198,25,13361,14648
100,4155,25,13361,13621
101,4190,25,13361,14640
102,4205,25,13362,12341
103,4176,25,13361,14134
104,4170,25,13361,14128
105,4112,25,13361,12594
106,4172,25,13361,14130
107,4197,25,13361,14647
108,4135,25,13361,13109
109,4168,25,13361,13880
110,4135,25,13361,13109
111,4168,25,13361,13880
112,4148,25,13361,13368
113,4116,25,13361,12598
114,4142,25,13361,13362
115,4100,25,13361,12336
116,4181,25,13361,14385
117,4201,25,13362,12337
118,4174,25,13361,14132
119,4198,25,13361,14648
120,4111,25,13361,12593
121,4158,25,13361,13624
122,4178,25,13361,14136
123,4146,25,13361,13366
124,4173,25,13361,14131
125,4088,25,13360,14392
126,4149,25,13361,13369
127,4174,25,13361,14132
128,4145,25,13361,13365
129,4135,25,13361,13109
130,4088,25,13360,14392
131,4130,25,13361,13104
132,4149,25,13361,13369
133,4155,25,13361,13621
134,4190,25,13361,14640
135,4133,25,13361,13107
136,4181,25,13361,14385
137,4173,25,13361,14131
138,4137,20,13361,13111
139,4098,20,13360,14648
140,4034,20,13360,13108
141,3910,20,13113,12592
142,3811,20,13112,12593
143,3680,20,13110,14384
144,3606,20,13110,12342
145,3512,20,13109,12594
146,3427,20,13108,12855
147,3342,20,13107,13362
148,3338,20,13107,13112
149,3273,20,13106,14131
150,3193,20,13105,14643
151,3108,20,13105,12344
152,3061,20,13104,13873
153,3047,20,13104,13367
154,2975,20,12857,14133
155,2917,20,12857,12599
156,2885,20,12856,14389
157,2840,20,12856,13360
158,2815,20,12856,12597
159,2825,20,12856,12853
160,2760,20,12855,13872
161,2716,20,12855,12598
162,2691,20,12854,14641
163,2677,20,12854,14135
164,2689,20,12854,14393
165,2663,20,12854,13875
166,2648,20,12854,13368
167,2610,20,12854,12592
168,2583,20,12853,14387
169,2573,20,12853,14131
170,2568,20,12853,13880
171,2551,20,12853,13617
172,2524,20,12853,12852
173,2509,20,12853,12345
174,2506,20,12853,12342
175,2478,20,12852,14136
176,2483,20,12852,14387
177,2487,20,12852,14391
178,2474,20,12852,14132
179,2460,20,12852,13872
180,2445,20,12852,13365
181,2450,20,12852,13616
182,2437,20,12852,13111
183,2421,20,12852,12849
184,2436,20,12852,13110
185,2427,20,12852,12855
186,2423,20,12852,12851
187,2394,20,12851,14644
188,2415,20,12852,12597
189,2408,20,12852,12344
190,2383,20,12851,14387
191,2390,20,12851,14640
192,2393,20,12851,14643
193,2373,20,12851,14131
194,2380,20,12851,14384
195,2385,20,12851,14389
196,2368,20,12851,13880
197,2376,20,12851,14134
198,2394,20,12851,14644
199,2372,20,12851,14130
200,2367,20,12851,13879
201,2381,20,12851,14385
202,2363,20,12851,13875
203,2361,20,12851,13873
204,2371,20,12851,14129
205,2360,20,12851,13872
206,2370,20,12851,14128
207,2343,20,12851,13363
208,2363,20,12851,13875
209,2372,20,12851,14130
210,2344,20,12851,13364
211,2358,20,12851,13624
212,2359,20,12851,13625
213,2369,20,12851,13881
214,2365,20,12851,13877
215,2363,20,12851,13875
216,2349,20,12851,13369
217,2354,20,12851,13620
218,2342,20,12851,13362
219,2323,20,12851,12851
220,2319,20,12851,12601
221,2331,20,12851,13105
222,2348,20,12851,13368
223,2330,20,12851,13104
224,2337,20,12851,13111
225,2353,20,12851,13619
226,2312,20,12851,12594
227,2334,20,12851,13108
